Nom,Categorie,Prix_achat_fcfa,Prix_vente_fcfa,Prix_original_fcfa,Stock,Description,Image_url,Images,Marque,Etat,Region,Vendeur,Telephone
Téléphone HONOR X5C PLUS – 128 Go – RAM 4 Go,Téléphones & Accessoires,71600,80200,,5,"Le HONOR X5C Plus est un smartphone conçu pour offrir une expérience fluide et efficace au quotidien, tout en restant accessible. Il s’adresse aux utilisateurs recherchant un bon équilibre entre performance, autonomie et capacité de stockage. Équipé de 128 Go de stockage interne, il permet de conserver facilement photos, vidéos, applications et documents sans contrainte d’espace. Sa mémoire RAM de 4 Go assure une navigation fluide, le multitâche et une utilisation confortable des applications courantes.",https://www.soumari.com/wp-content/uploads/2026/04/Telephone-HONOR-X5C-PLUS-128gb-ram-4-300x300.webp,,,Neuf,Dakar,,
Redmi note 15 – 256 Go – RAM 8 Go,Téléphones & Accessoires,144000,161300,,5,"Le redmi note 15 256 go ram 8 go est un smartphone conçu pour offrir un excellent équilibre entre performance, autonomie et design. Développé par Xiaomi, il est idéal pour une utilisation quotidienne, le multimédia et le multitâche. Avec 8 Go de RAM et 256 Go de stockage, ce téléphone permet d’exécuter plusieurs applications sans ralentissement tout en offrant un espace suffisant pour vos fichiers, photos et vidéos.",https://www.soumari.com/wp-content/uploads/2026/04/Redmi-note-15-256-Go-RAM-8-Go-2-300x300.webp,,,Neuf,Dakar,,
Redmi note 15 pro – 256 Go – RAM 8 Go,Téléphones & Accessoires,177000,198200,,5,"Le redmi note 15 pro 256 go ram 8 go est un smartphone haut de gamme conçu pour offrir puissance, fluidité et grande capacité de stockage. Développé par Xiaomi, il répond parfaitement aux besoins des utilisateurs exigeants. Avec une mémoire RAM de 8 Go, ce smartphone garantit une excellente fluidité, permettant de lancer plusieurs applications simultanément sans ralentissement. Son espace de stockage interne de 256 Go offre une grande capacité pour conserver photos, vidéos, applications et fichiers sans contrainte.",https://www.soumari.com/wp-content/uploads/2026/04/Redmi-note-15-pro-256-Go-RAM-8-Go-._11zon-300x300.webp,,,Neuf,Dakar,,
Redmi note 15 pro – 512 Go – RAM 12 Go,Téléphones & Accessoires,214000,231100,,5,"Le redmi note 15 pro 512 go ram 12 go est un smartphone haut de gamme conçu pour offrir puissance, fluidité et grande capacité de stockage. Développé par Xiaomi, il répond parfaitement aux besoins des utilisateurs exigeants. Avec une mémoire RAM de 12 Go, ce smartphone garantit une excellente fluidité, permettant de lancer plusieurs applications simultanément sans ralentissement. Son espace de stockage interne de 512 Go offre une grande capacité pour conserver photos, vidéos, applications et fichiers sans contrainte.",https://www.soumari.com/wp-content/uploads/2026/04/Redmi-note-15-pro-512-Go-RAM-12-Go._11zon-300x300.webp,,,Neuf,Dakar,,
Villaon V50s – 64 Go – RAM 8 Go,Téléphones & Accessoires,42000,49600,,5,"Le smartphone Villaon V50s est conçu pour offrir une expérience fluide et performante au quotidien. Avec sa mémoire RAM de 8 Go, il garantit une excellente rapidité d’exécution, idéale pour le multitâche, les applications et les réseaux sociaux. Son stockage interne de 64 Go permet de conserver facilement vos photos, vidéos, applications et documents. Il offre également la possibilité d’extension via carte mémoire pour encore plus d’espace.",https://www.soumari.com/wp-content/uploads/2026/01/Villaon-V50S-%E2%80%93-64-Go-%E2%80%93-RAM-8-Go_jpg-300x300.webp,,,Neuf,Dakar,,
Tecno camon 50 ultra – Memoire 512 Go – Ram 8 Go,Téléphones & Accessoires,280000,302400,,5,"Le Tecno Camon 50 Ultra est un smartphone haut de gamme conçu pour offrir performance, élégance et innovation. Doté d’une mémoire interne de 512 Go, il permet de stocker une grande quantité de photos, vidéos, applications et documents sans contrainte. Avec ses 8 Go de RAM, ce smartphone garantit une expérience fluide et rapide, idéale pour le multitâche, les jeux et les applications exigeantes. Il est parfaitement adapté aux utilisateurs modernes qui recherchent puissance et réactivité au quotidien.",https://www.soumari.com/wp-content/uploads/2026/03/Tecno-camon-50-ultra-Memoire-512-Go-Ram-8-Go-_1.webp,,,Neuf,Dakar,,
Tecno Camon 50 pro – Memoire 256 Go – RAM 8 Go,Téléphones & Accessoires,190600,213500,,5,"Le TECNO Camon 50 Pro   est un smartphone haut de gamme conçu pour offrir puissance, fluidité et photographie avancée. Équipé d’un écran AMOLED de 6,78 pouces avec un taux de rafraîchissement 144Hz, il garantit une expérience visuelle immersive avec des couleurs éclatantes et une navigation ultra fluide. Propulsé par le processeur MediaTek Helio G200 Ultra et accompagné de 8 Go de RAM ainsi que 256 Go de stockage, ce smartphone offre des performances rapides pour le multitâche, les jeux et les applications exigeantes. Sa batterie longue durée de 6150 mAh avec charge rapide 45W vous permet de profiter de votre téléphone toute la journé",https://www.soumari.com/wp-content/uploads/2026/03/Tecno-Camon-50-pro-Memoire-256-Go-RAM-8-Go_1-300x300.webp,,,Neuf,Dakar,,
Tecno Camon 50 – Memoire 256 Go – Ram 8 Go,Téléphones & Accessoires,175800,196900,,5,"Le Tecno Camon 50 est un smartphone moderne et puissant, idéal pour une utilisation quotidienne fluide : réseaux sociaux, photos, vidéos et multitâche. Doté d’un grand écran AMOLED de 6,78 pouces avec un taux de rafraîchissement 144Hz, il garantit un affichage ultra fluide et des couleurs éclatantes pour profiter pleinement de vos vidéos, jeux et réseaux sociaux.",https://www.soumari.com/wp-content/uploads/2026/03/Tecno-Camon-50-Memoire-256-Go-RAM-8-Go-_1-300x300.webp,,,Neuf,Dakar,,
Villaon V45 – 32 Go,Téléphones & Accessoires,34000,40100,,5,"Le Villaon V45 est un smartphone Android moderne conçu pour offrir performance, autonomie et grand écran à un prix accessible. Grâce à son écran HD+ de 6,52 pouces, il permet de profiter confortablement des vidéos, réseaux sociaux et applications quotidiennes. Il est équipé d’une mémoire interne de 32 Go (selon version) extensible via carte microSD, permettant de stocker photos, vidéos et applications. Son processeur octa-core et le système Android Go Edition assurent une utilisation fluide même avec plusieurs applications.",https://www.soumari.com/wp-content/uploads/2026/03/Villaon-V45-32Gb-300x300.webp,,,Neuf,Dakar,,
Villaon V112,Téléphones & Accessoires,5400,6800,,5,"Le Villaon V112 est un téléphone classique à clavier conçu pour les personnes qui veulent un appareil simple, robuste et avec une bonne autonomie. Il permet de passer des appels, envoyer des SMS et écouter la radio sans internet. Grâce à sa batterie de 1000 mAh, ce téléphone peut tenir plusieurs jours sans recharge , ce qui le rend très pratique pour un usage quotidien ou comme téléphone secondaire",https://www.soumari.com/wp-content/uploads/2026/03/Villaon-V112-300x300.webp,,,Neuf,Dakar,,
Villaon V211,Téléphones & Accessoires,5800,7300,,5,"Le Villaon V211 est un téléphone classique à clavier conçu pour les utilisateurs qui recherchent simplicité, autonomie et fiabilité. Ce type de téléphone est parfait pour les appels, les SMS et un usage quotidien sans les complications d’un smartphone. Son principal avantage est sa batterie puissante de 2500 mAh, qui peut offrir jusqu’à plusieurs semaines d’autonomie en veille grâce à la faible consommation du réseau 2G.",https://www.soumari.com/wp-content/uploads/2026/03/Villaon-V211-300x300.webp,,,Neuf,Dakar,,
Villaon V120,Téléphones & Accessoires,5700,7100,,5,"Le Villaon V120 est un téléphone mobile simple et pratique conçu pour les utilisateurs qui recherchent un appareil fiable pour les appels et les messages. Grâce à sa fonction triple SIM, il permet d’utiliser trois cartes SIM simultanément, ce qui est très utile pour gérer plusieurs réseaux ou numéros. Ce téléphone dispose d’un écran compact de 1,77 pouces, d’une batterie longue durée de 1000 mAh, et d’un design classique facile à utiliser. Il intègre également des fonctions pratiques comme la radio FM sans fil, un lecteur audio et une lampe torche LED, idéales pour un usage quotidien",https://www.soumari.com/wp-content/uploads/2026/03/Villaon-V120-300x300.webp,,,Neuf,Dakar,,
Tecno Spark Slim – 256 Go – RAM 8 Go,Téléphones & Accessoires,142000,159000,,5,"Le Tecno Spark Slim 256 Go RAM 8 Go est un smartphone moderne conçu pour offrir performance, fluidité et grande capacité de stockage. Grâce à ses 8 Go de RAM, il assure une utilisation rapide et sans ralentissement, même en multitâche. Avec ses 256 Go de stockage interne, vous pouvez conserver toutes vos photos, vidéos, applications et documents sans vous soucier de l’espace. Son design fin et élégant le rend agréable à prendre en main, tandis que son écran offre un excellent confort visuel.",https://www.soumari.com/wp-content/uploads/2026/02/Tecno-Spark-Slim-256-Go-RAM-8-Gov-300x300.webp,,,Neuf,Dakar,,
VILLAON V25 – 64 Go – RAM 4 Go,Téléphones & Accessoires,27300,32200,,5,"Le Villaon V25 – 64 Go – RAM 4 Go est un smartphone pensé pour répondre aux besoins essentiels du quotidien avec fluidité et simplicité. Grâce à ses 4 Go de RAM, il assure une navigation agréable entre les applications, tandis que son stockage interne de 64 Go permet de conserver photos, vidéos, musiques et documents sans contrainte.",https://www.soumari.com/wp-content/uploads/2026/01/VILLAON-V25-64-Go-RAM-4-Go-300x300.webp,,,Neuf,Dakar,,
ITEL A06 – 64 Go – RAM 4 Go,Téléphones & Accessoires,35000,41300,,5,"Le Itel A06 – 64 Go – RAM 4 Go est un smartphone conçu pour offrir une expérience fluide et pratique au quotidien. Grâce à sa mémoire RAM de 4 Go, il permet une navigation rapide entre les applications, tandis que son stockage interne de 64 Go offre suffisamment d’espace pour vos photos, vidéos, musiques et applications.",https://www.soumari.com/wp-content/uploads/2026/01/ITEL-A06-64-Go-RAM-4-Go_jfif-300x300.webp,,,Neuf,Dakar,,
Villaon V50S – 32 Go – RAM 8 Go,Téléphones & Accessoires,38000,44800,,5,"Le Villaon V50S – 32 Go – RAM 8 Go est un smartphone moderne conçu pour répondre aux besoins essentiels du quotidien. Il est équipé d’un grand écran de 6.52 pouces offrant un affichage confortable pour la navigation, les vidéos et les réseaux sociaux. Grâce à ses 8 Go de RAM et ses 32 Go de stockage interne, le Villaon V50S assure une utilisation fluide des applications et un espace suffisant pour stocker photos, vidéos et fichiers. Sa connectivité 4G permet une navigation Internet rapide et stable. Sa batterie de 4000 mAh avec port Type-C garantit une autonomie adaptée à une journée complète d’utilisation. Le Villaon V50S – 32 Go – RAM 8 Go est un excellent choix pour ceux qui recherchent un smartphone performant à prix accessible.",https://www.soumari.com/wp-content/uploads/2026/01/Villaon-V50S-%E2%80%93-64-Go-%E2%80%93-RAM-8-Go-300x300.webp,,,Neuf,Dakar,,
Téléphone Astech IRIS – 256 Go – RAM 12 Go,Téléphones & Accessoires,65000,72800,,5,"Le Téléphone Astech IRIS – 256 Go – RAM 12 Go est conçu pour les utilisateurs exigeants à la recherche de puissance, rapidité et grande capacité de stockage. Avec ses 12 Go de RAM, ce smartphone assure une fluidité exceptionnelle, même lors de l’utilisation simultanée de plusieurs applications, de jeux ou d’outils professionnels. Son stockage interne de 256 Go offre un espace très confortable pour conserver photos, vidéos en haute résolution, applications lourdes et documents importants, sans se soucier du manque de place. Son grand écran tactile immersif garantit un excellent confort visuel pour le streaming, la navigation et le travail mobile.",https://www.soumari.com/wp-content/uploads/2025/12/Telephone-Astech-IRIS-256GB-RAM-12-300x300.webp,,,Neuf,Dakar,,
Téléphone Astech NEO -128 Go – RAM 8 Go,Téléphones & Accessoires,48500,57200,,5,,https://www.soumari.com/wp-content/uploads/2025/12/Telephone-Astech-NEO-128-Go-RAM-8-Go-300x300.webp,,,Neuf,Dakar,,
Téléviseur LG 55’’ Smart 4K UQ7050PSA,Téléphones & Accessoires,290800,314100,,5,,https://www.soumari.com/wp-content/uploads/2025/12/TELEVISEUR-LG-55-SMART-4K-UQ7050PSA-300x300.webp,,,Neuf,Dakar,,
Tecno Spark 40 Pro Plus – 256 Go – Ram 8 Go,Téléphones & Accessoires,113200,126800,,5,"Alliez puissance, élégance et technologie de pointe avec le TECNO SPARK 40 Pro+, un smartphone haut de gamme à prix accessible. Pensé pour les utilisateurs exigeants, ce modèle offre une mémoire interne de 256 Go accompagnée de 8 Go de RAM, pour une navigation ultra-fluide, un multitâche sans ralentissement et un espace de stockage généreux pour toutes vos applications, photos et vidéos.",https://www.soumari.com/wp-content/uploads/2025/12/Tecno-Spark-40-Pro-Plus-256-Go-Ram-8-Gov-300x300.webp,,,Neuf,Dakar,,
Téléphone Honor Play 10 – 64 Go – Ram 3 Go,Téléphones & Accessoires,49000,57800,,5,"Le Honor Play 10 est un smartphone conçu pour offrir un excellent rapport qualité-prix. Avec son processeur rapide et ses 3 Go de mémoire RAM, il assure une navigation fluide entre les applications et une expérience multitâche agréable. Son écran  offre une qualité d’affichage claire et colorée, parfaite pour le streaming, les jeux et les réseaux sociaux. Côté stockage, ses 64 Go internes permettent de sauvegarder vos photos, vidéos et applications sans contrainte, extensibles via carte microSD. La batterie de grande capacité garantit une autonomie prolongée pour tenir toute la journée. Le Honor Play 10 se distingue aussi par son design moderne, son capteur photo précis et son interface intuitive basée sur Android.",https://www.soumari.com/wp-content/uploads/2025/11/Telephone-Honor-Play-10-64-Go-Ram-3-Go_jfif-300x300.webp,,,Neuf,Dakar,,
Itel P65C 128Go- ram 4Go,Téléphones & Accessoires,41500,49000,,5,"Le **Itel P65C** est un smartphone moderne alliant performance et praticité, idéal pour un usage quotidien. Avec une mémoire interne de **128 Go**, il offre un large espace de stockage pour vos applications, photos, vidéos et fichiers, tandis que sa **RAM de 4 Go** assure une navigation fluide et rapide, même en multitâche. Conçu pour répondre aux besoins essentiels, il combine puissance, design élégant et fiabilité, faisant de lui un excellent choix pour ceux qui recherchent un téléphone performant à prix abordable.",https://www.soumari.com/wp-content/uploads/2025/09/Itel-P65C-128Go-ram-4Go-300x300.jpg,,,Neuf,Dakar,,
Itel A90 64Go- Ram 3Go,Téléphones & Accessoires,37000,43700,,5,"Le **Itel A90** est un smartphone élégant et pratique conçu pour répondre aux besoins quotidiens. Avec une mémoire interne de **64 Go**, extensible par carte mémoire, et une **RAM de 3 Go**, il offre une fluidité appréciable pour naviguer sur internet, utiliser vos applications préférées et stocker photos, vidéos ou fichiers. Son design moderne, combiné à des performances fiables, en fait un téléphone adapté aussi bien pour les appels, la messagerie que pour le divertissement. Idéal pour ceux qui recherchent un appareil abordable, polyvalent et efficace au quotidien.",https://www.soumari.com/wp-content/uploads/2025/09/Itel-A90-128gb-Ram-4-2-300x300.jpg,,,Neuf,Dakar,,
Itel A90 128Go- Ram 4Go,Téléphones & Accessoires,39900,47100,,5,"Le **Itel A90** est un smartphone moderne qui allie performance et praticité. Doté d’une mémoire interne de **128 Go**, il offre un espace de stockage généreux pour vos applications, photos, vidéos et fichiers. Avec ses **4 Go de RAM**, il assure une fluidité optimale dans l’utilisation quotidienne, que ce soit pour naviguer sur internet, utiliser les réseaux sociaux ou profiter de vos divertissements. Élégant et ergonomique, l’Itel A90 constitue un choix idéal pour ceux qui recherchent un téléphone fiable, performant et adapté à leurs besoins quotidiens.",https://www.soumari.com/wp-content/uploads/2025/09/Itel-A90-128gb-Ram-4-300x300.jpg,,,Neuf,Dakar,,
Samsung Galaxy A17 256Go – Ram 8Go,Téléphones & Accessoires,111500,124900,,5,"Le **Samsung Galaxy A17** est un smartphone performant équipé de **256 Go de stockage** et de **8 Go de RAM**, offrant une capacité exceptionnelle pour stocker vos fichiers, applications et photos tout en assurant une fluidité remarquable dans le multitâche. Son design moderne et élégant s’accompagne d’un écran immersif qui rend l’expérience visuelle agréable pour les vidéos, les jeux et la navigation. Grâce à ses caractéristiques techniques avancées, ce téléphone permet une utilisation rapide et efficace au quotidien, répondant aussi bien aux besoins professionnels qu’aux loisirs numériques.",https://www.soumari.com/wp-content/uploads/2025/09/Samsung-Galaxy-A17-128Go-Ram-4Go-3-300x300.jpg,,,Neuf,Dakar,,
Samsung Galaxy A17 128Go – Ram – 4Go,Téléphones & Accessoires,85000,95200,,5,"Le **Samsung Galaxy A17** est un smartphone élégant et performant, conçu pour offrir une expérience fluide au quotidien. Avec une mémoire interne de **128 Go**, extensible via carte microSD, il vous permet de stocker facilement vos photos, vidéos et applications. Sa **mémoire RAM de 4 Go** assure une utilisation rapide et multitâche sans ralentissement. Doté d’un design moderne et raffiné, il combine praticité et puissance pour répondre aux besoins essentiels, que ce soit pour naviguer sur internet, profiter de vos réseaux sociaux ou regarder vos contenus multimédias en toute fluidité.",https://www.soumari.com/wp-content/uploads/2025/09/Samsung-Galaxy-A17-128Go-Ram-4Go-2-300x300.jpg,,,Neuf,Dakar,,
Infinix Note 50 Pro 256Go- Ram 8Go,Téléphones & Accessoires,139900,156700,,5,"Le **Infinix Note 50 Pro** est un smartphone moderne et performant, conçu pour offrir une expérience fluide et agréable au quotidien. Doté d’une mémoire interne de **256 Go**, il permet de stocker facilement vos photos, vidéos, applications et fichiers sans contrainte, tandis que sa **RAM de 8 Go** assure une rapidité optimale, même lors du multitâche. Élégant et puissant, ce modèle se distingue par son design soigné, ses fonctionnalités avancées et sa capacité à répondre aux besoins des utilisateurs exigeants, que ce soit pour le travail, le divertissement ou la communication.",https://www.soumari.com/wp-content/uploads/2025/09/Infinix-Note-50-Pro-256gb-Ram-8gb-300x300.jpg,,,Neuf,Dakar,,
Téléphone Villaon V105,Téléphones & Accessoires,5100,6400,,5,"Le **Villaon V105** est un téléphone pratique et élégant, conçu pour répondre aux besoins essentiels de communication. Avec son design compact et moderne, il offre une prise en main confortable et une utilisation intuitive. Doté de fonctionnalités de base fiables telles que les appels, les SMS et une autonomie adaptée à un usage quotidien, il se distingue par sa simplicité et sa robustesse. C’est le choix idéal pour ceux qui recherchent un téléphone accessible, efficace et facile à utiliser, sans fonctionnalités complexes.",https://www.soumari.com/wp-content/uploads/2025/09/Telephone-Villaon-V105-300x300.jpg,,,Neuf,Dakar,,
Téléphone Villaon V110,Téléphones & Accessoires,5200,6500,,5,"Le **téléphone Villaon V110** est un appareil pratique et moderne conçu pour répondre aux besoins essentiels de communication. Avec son design élégant et ergonomique, il offre une prise en main confortable et une utilisation simple au quotidien. Doté de fonctionnalités de base fiables telles qu’un écran clair, un clavier intuitif et une bonne autonomie de batterie, le Villaon V110 se distingue par sa robustesse et sa facilité d’utilisation. C’est un choix idéal pour ceux qui recherchent un téléphone efficace, accessible et adapté aussi bien à un usage personnel que professionnel.",https://www.soumari.com/wp-content/uploads/2025/09/Telephone-Villaon-V110-2-300x300.jpg,,,Neuf,Dakar,,
Téléphone Villaon V40S – 32Go – Ram 4 Go,Téléphones & Accessoires,33000,38900,,5,"Le **Téléphone Villaon V40S** est un smartphone élégant et performant, conçu pour répondre aux besoins du quotidien. Doté d’une mémoire interne de **32 Go**, extensible pour stocker photos, vidéos et applications, il est associé à une **mémoire RAM de 4 Go** qui garantit une navigation fluide et un bon multitâche. Avec son design moderne, il offre une expérience agréable aussi bien pour les appels que pour l’utilisation d’Internet, des réseaux sociaux et du divertissement. Ce modèle représente un bon équilibre entre efficacité, style et accessibilité.",https://www.soumari.com/wp-content/uploads/2025/09/Telephone-Villaon-V40S-32Go-Ram-4-Go-2-300x300.jpg,,,Neuf,Dakar,,
Téléphone Villaon V5606,Téléphones & Accessoires,6000,7500,,5,"Le **Téléphone Villaon V5606** est un appareil moderne et élégant conçu pour offrir praticité et performance au quotidien. Doté d’un design soigné, il allie simplicité d’utilisation et fonctionnalités essentielles pour répondre aux besoins de communication. Sa prise en main ergonomique et son interface intuitive en font un choix idéal aussi bien pour un usage domestique que professionnel. Ce modèle garantit une qualité sonore claire et stable, tout en intégrant des options pratiques qui facilitent l’expérience utilisateur.",https://www.soumari.com/wp-content/uploads/2025/09/Telephone-Villaon-V5606-300x300.jpg,,,Neuf,Dakar,,
Redmi 15C – 256 Go – Ram 8 Go,Téléphones & Accessoires,79500,89000,,5,"Le Redmi 15C 256 Go – RAM 8 Go offre puissance et confort d’utilisation. Avec sa grande capacité de stockage, sa mémoire vive rapide et son autonomie longue durée, il est parfait pour les utilisateurs exigeants. Un smartphone fiable, moderne et performant, idéal pour un usage quotidien et multimédia.",https://www.soumari.com/wp-content/uploads/2025/09/Redmi-15C-256-Go-ram-8-Go-300x300.jpg,,,Neuf,Dakar,,
Redmi 15C – 128 Go – Ram 4 Go,Téléphones & Accessoires,67000,75000,,5,"Le **Redmi 15C 128 Go – RAM 4 Go** est le choix idéal pour ceux qui recherchent performance et fiabilité à petit prix. Doté d’un grand écran immersif, d’un processeur rapide et d’une batterie endurante, il assure une expérience fluide au quotidien. Avec sa mémoire généreuse de 128 Go, stockez vos photos, vidéos et applications sans contrainte.",https://www.soumari.com/wp-content/uploads/2025/09/Redmi-15C-128-Go-ram-4-Go-300x300.jpg,,,Neuf,Dakar,,
Redmi 15 – 256 Go – Ram 8 Go,Téléphones & Accessoires,94500,105800,,5,"Le Redmi 15 – 256 Go – RAM 8 Go est un smartphone Xiaomi puissant, élégant et conçu pour la performance. Grâce à ses 8 Go de RAM et son processeur octa-core, il offre une fluidité exceptionnelle même pour les tâches les plus exigeantes. Son stockage  de 256 Go permet de conserver toutes vos photos, vidéos et applications sans contrainte. Doté d’un appareil photo 50 MP, d’une batterie longue durée de 7000 mAh et d’un grand écran FHD+ immersif, ce téléphone est idéal pour le travail, les jeux et le divertissement.",https://www.soumari.com/wp-content/uploads/2025/09/Redmi-15-256-Go-Ram-8-Go-300x300.jpg,,,Neuf,Dakar,,
Redmi 15 – 128 Go – Ram 6 Go,Téléphones & Accessoires,83000,93000,,5,"Le **Redmi 15 – 128 Go – RAM 6 Go** est un smartphone Xiaomi qui combine **puissance, fluidité et autonomie**. Son grand écran FHD+ offre une immersion totale, tandis que son processeur octa-core et ses **6 Go de RAM** garantissent un multitâche sans ralentissement. Avec **128 Go de stockage extensible**, une batterie de **7000 mAh** et un **appareil photo 50 MP**, ce téléphone est parfait pour travailler, jouer et capturer vos plus beaux moments.",https://www.soumari.com/wp-content/uploads/2025/09/Redmi-15-128-Go-Ram-6-G-300x300.png,,,Neuf,Dakar,,
